ds,actual,predicted,error,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,in_50_interval,in_80_interval,in_95_interval,n_train_samples,n_features
2023-01-01,-1927.0,-2620.41475827801,693.4147582780101,-2625.764965549793,-2357.2621852783027,-2715.0690723123103,-2094.179185863789,-2740.3085749699217,-2043.4364890288366,False,False,False,394,65
2023-02-01,1111.0,709.7424208729863,401.25757912701374,704.5847572380374,1023.5349171408906,605.9459215437469,1281.9178233979765,581.0674048495347,1347.085134034703,False,True,True,395,65
2023-03-01,562.0,486.84893001159116,75.15106998840884,481.7186445113697,800.723560683678,383.15809169286007,1067.8890046512372,354.4463985234011,1192.4042935156413,True,True,True,396,65
2023-04-01,820.0,774.6520774288167,45.34792257118329,827.1568306427118,1096.8887833785523,659.705503082284,1355.6921520684627,632.9102946639862,1502.0856677771944,False,True,True,397,65
2023-05-01,969.0,840.5467471765858,128.45325282341423,884.0009711270352,1162.7834531263213,714.0927806826822,1406.1284988587042,635.1208691467681,1685.9719006225064,True,True,True,398,65
2023-06-01,657.0,797.9049199060254,-140.90491990602538,842.5139286333371,1074.9219031707964,671.4509534121219,1348.026951306879,592.4790418762077,1647.5070620042784,False,False,True,399,65
2023-07-01,-837.0,-514.9528575435339,-322.0471424564661,-483.3277939809191,-238.5237090845569,-672.9515777892902,61.90247725449183,-719.9492885515107,334.6492845547191,False,False,False,400,67
2023-08-01,176.0,165.3098761208437,10.690123879156289,33.97247151108792,441.16866613426896,-18.22418348675066,761.1058513111093,-54.649295935325085,814.3078101166036,True,True,True,401,67
2023-09-01,699.0,411.68300885295605,287.31699114704395,252.55227953588488,655.7431621217534,210.82879008230378,1005.3267358330498,86.48684909824726,1018.5012861944437,False,True,True,402,67
2023-10-01,983.0,718.9244388189328,264.0755611810672,603.9803424765167,1064.902526850168,514.5604448820385,1307.423309921834,393.728279064224,1336.3222750827113,True,True,True,403,67
2023-11-01,477.0,357.5135096020443,119.48649039795572,299.9584477647863,698.2993715512694,171.62027523757394,935.7697100163787,133.53075740280048,1042.3650451242895,True,True,True,404,67
2023-12-01,-233.0,-122.48538533171273,-110.51461466828727,-163.6937702755381,214.98809367761663,-234.8510788791375,345.2322258328159,-332.4459309415517,562.3661501905326,False,True,True,405,67
2024-01-01,-2602.0,-2486.9466538936704,-115.05334610632963,-2517.725647904011,-2246.6695538276317,-2647.2026785283306,-2126.4401077018474,-2719.2370978916815,-1788.1423164653609,False,True,True,406,64
2024-02-01,929.0,651.1538205779219,277.8461794220781,619.893071195852,845.5763832220186,430.18722349954686,1009.0602697539913,389.0409833480291,1343.0615423914778,False,True,True,407,64
2024-03-01,663.0,626.5429246810983,36.45707531890173,596.7174395623024,808.6230663997505,396.64118907676186,883.3010818918897,363.2965132919506,1046.4313185390065,True,True,True,408,64
2024-04-01,798.0,900.9681918915255,-102.96819189152552,844.4594562103789,1075.4661098032084,671.0664562871891,1130.8579667094411,621.3780741574725,1191.8087715000006,False,True,True,409,64
2024-05-01,902.0,813.3874004626504,88.61259953734964,706.5042938734388,987.5994860824228,588.9096598404591,1035.308481630975,426.19970110448037,1079.3764519806698,True,True,True,410,64
2024-06-01,474.0,653.3375833056323,-179.33758330563228,531.9266795349672,796.3144251132187,431.3781422153045,865.8423468913602,264.3552283171558,916.7214913672376,False,True,True,411,64
2024-07-01,-947.0,-1234.8092572794606,287.80925727946055,-1356.2083563108313,-1097.9358649591823,-1484.7292957941656,-1028.6425714302504,-1623.7916122679371,-980.0454855033599,False,False,False,412,67
2024-08-01,205.0,210.61431945119696,-5.6143194511969625,100.6976217398848,371.1796303552276,-39.30571906350818,413.38713319491967,-170.2948119782251,467.97912513290055,True,True,True,413,67
2024-09-01,527.0,613.1408437778807,-86.14084377788072,506.47545170112016,783.5490323818489,406.3602365360183,815.9136575216035,243.71736125481522,897.0325329185853,True,True,True,414,67
2024-10-01,830.0,788.8421162758874,41.157883724112594,682.378546007717,965.695985495094,663.6374498735343,1004.8187313126579,423.27141235293647,1072.7338054165918,True,True,True,415,67
2024-11-01,553.0,460.4894624139357,92.51053758606429,353.9320465907332,598.5134875117649,338.9568239395487,676.4660774507062,232.19081836964045,732.0708703457087,True,True,True,416,67
2024-12-01,-102.0,-179.75322782536506,77.75322782536506,-287.55728412666,-77.57910011296961,-299.35060039593156,37.81125462964508,-389.63421128555507,56.78053718850924,True,True,True,417,67
2025-01-01,-3367.0,-2689.5927757695176,-677.4072242304824,-2769.024641542622,-2582.837483921467,-2804.811095811346,-2515.6191319948534,-2899.473759229708,-2466.9143597484012,False,False,False,418,63
2025-02-01,892.0,821.9578357319367,70.04216426806329,770.1330042696054,927.2118804589063,713.0742083577003,956.6953786424288,549.0773161948907,1041.5101799063873,True,True,True,419,63
2025-03-01,523.0,636.8188016564505,-113.81880165645055,584.2457439670014,739.2972986665718,533.5674023720849,767.0660220658515,-24.033071749120495,781.0273826242338,False,False,True,420,63
2025-04-01,810.0,792.3282864557566,17.671713544243403,696.9755833669319,887.9292238128635,667.1622377800863,929.7112238711322,106.87270098095132,945.9591368178993,True,True,True,421,63
