Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
emp_sa_private_services_education_health_education_nsa_mom,Other,2
is_jan,Other,3
month_cos,Calendar,4
emp_sa_government_nsa_mom,Other,5
is_july,Other,6
emp_sa_government_local_nsa_mom_pct,Other,7
emp_sa_private_services_education_health_nsa_3m_chg,Other,8
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,9
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,10
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,11
emp_private_govt_ratio,Other,12
emp_sa_private_nsa_mom,Other,13
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,14
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,15
emp_sa_private_services_financial_finance_insurance_nsa_latest,Other,16
emp_sa_private_services_financial_real_estate_nsa_3m_chg,Other,17
emp_sa_private_services_financial_real_estate_nsa_mom,Other,18
emp_sa_government_state_nsa_mom_pct,Other,19
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,20
nfp_nsa_mom_lag3,NFP_Lagged,21
CCSA_MoM_Pct_rolling_mean_3,Claims,22
emp_sa_private_services_nsa_rolling_3m,Other,23
ADP_forecast_2yr_change,ADP,24
quarter_sin,Calendar,25
JOLTS_Layoffs_mom_change,JOLTS,26
emp_sa_government_federal_nsa_3m_chg,Other,27
nfp_nsa_divergence_3m,NFP_Lagged,28
emp_sa_private_services_professional_business_professional_technical_nsa_latest,Calendar,29
ISM_Manufacturing_Index_latest,ISM,30
CB_Consumer_Confidence_mom_change,Consumer_Confidence,31
emp_sa_private_services_trade_transportation_utilities_nsa_latest,Other,32
emp_sa_private_services_information_publishing_nsa_3m_chg,Other,33
emp_sa_private_services_other_repair_nsa_mom,Other,34
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,35
ADP_actual_latest,ADP,36
CCSA_MoM_Pct_latest,Claims,37
emp_sa_private_services_education_health_health_social_nsa_mom,Other,38
emp_sa_private_services_professional_business_management_companies_nsa_latest,Calendar,39
NOAA_Human_Impact_Index_lag3,NOAA,40
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,Calendar,41
emp_sa_government_nsa_6m_chg,Other,42
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_3m_chg,Other,43
ADP_forecast_yoy_change,ADP,44
emp_sa_government_federal_except_postal_nsa_latest,Other,45
emp_sa_private_services_information_nsa_latest,Other,46
Credit_Spreads_vol_of_changes_volatility_6m,Credit,47
nfp_nsa_mom_lag2,NFP_Lagged,48
ISM_NonManufacturing_Index_mom_change,ISM,49
emp_sa_private_services_information_data_processing_nsa_rolling_3m,Calendar,50
Oil_Prices_volatility_latest,Oil,51
emp_sa_private_services_leisure_hospitality_nsa_yoy,Other,52
emp_sa_private_services_education_health_health_social_nsa_rolling_3m,Other,53
emp_sa_government_federal_nsa_mom,Other,54
nfp_sa_mom_lag2,NFP_Lagged,55
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,56
emp_sa_government_local_excluding_education_nsa_3m_chg,Other,57
emp_sa_private_services_information_other_nsa_3m_chg,Other,58
emp_sa_private_services_education_health_nsa_mom_pct,Other,59
emp_sa_government_local_education_nsa_mom_pct,Other,60
emp_sa_government_local_education_nsa_rolling_3m,Other,61
Challenger_Job_Cuts_mom_change,Challenger,62
