Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
is_jan,Other,2
is_july,Other,3
emp_sa_private_services_education_health_education_nsa_mom,Other,4
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,5
nfp_nsa_acceleration,NFP_Lagged,6
month_cos,Calendar,7
emp_sa_private_services_other_religious_nsa_3m_chg,Other,8
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,9
Oil_Prices_zscore_3m_max_lag1,Oil,10
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,11
nfp_nsa_mom_rolling_3m,NFP_Lagged,12
CCSA_MoM_Pct_2yr_change,Claims,13
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,14
emp_sa_private_goods_construction_heavy_civil_nsa_mom,Other,15
Oil_Prices_zscore_3m_mean_lag1,Oil,16
NOAA_Human_Impact_Index_lag3,NOAA,17
emp_sa_government_federal_postal_nsa_latest,Other,18
emp_sa_private_services_education_health_nsa_3m_chg,Other,19
emp_sa_private_goods_construction_specialty_nsa_volatility,Other,20
CCSA_MoM_Pct_mom_change,Claims,21
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_latest,Calendar,22
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_volatility,Calendar,23
CB_Consumer_Confidence_18m_change,Consumer_Confidence,24
VIX_p99_lag1,Other,25
emp_sa_private_services_information_nsa_3m_chg,Other,26
CCSA_MoM_Pct_18m_change,Claims,27
emp_sa_government_federal_postal_nsa_mom,Other,28
CCSA_MoM_Pct_rolling_mean_6,Claims,29
nfp_nsa_mom_lag3,NFP_Lagged,30
Credit_Spreads_accel_volatility_lag1,Credit,31
emp_sa_private_services_other_religious_nsa_rolling_3m,Other,32
JOLTS_Layoffs_mom_change,JOLTS,33
SP500_zscore_3m_min_lag12,Other,34
SP500_30d_return_latest,Other,35
emp_sa_private_services_other_repair_nsa_mom,Other,36
Credit_Spreads_acceleration_trend_12m,Credit,37
ADP_actual_latest,ADP,38
emp_sa_private_services_information_motion_picture_nsa_3m_chg,Other,39
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,40
emp_sa_government_state_excluding_education_nsa_3m_chg,Other,41
CCSA_max_spike_yoy_change,Claims,42
emp_sa_private_services_information_publishing_nsa_3m_chg,Other,43
Credit_Spreads_acceleration_rolling_mean_3,Credit,44
Weekly_Econ_Index_monthly_avg_mom_change,Calendar,45
emp_sa_private_services_financial_finance_insurance_nsa_latest,Other,46
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_3m_chg,Other,47
ISM_Manufacturing_Index_mom_change,ISM,48
CCSA_max_spike_18m_change,Claims,49
Yield_Curve_zscore_12m_max_mom_change,Yield_Curve,50
emp_sa_private_services_information_other_nsa_3m_chg,Other,51
SP500_30d_return_yoy_change,Other,52
quarter_sin,Calendar,53
nfp_sa_mom_lag2,NFP_Lagged,54
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,55
Oil_worst_day_pct_6m_change,Oil,56
Oil_Prices_volatility_latest,Oil,57
Empire_State_Mfg_2yr_change,Other,58
emp_sa_private_services_professional_business_professional_technical_nsa_volatility,Calendar,59
Credit_Spreads_vol_of_changes_mom_change,Credit,60
ISM_NonManufacturing_Index_2yr_change,ISM,61
SP500_zscore_3m_mean_lag12,Other,62
