lag,value
0,1.0
1,0.0524785188558199
2,-0.2953441628630408
3,0.21780051417122578
4,0.20636260848851654
5,-0.2610420761998781
6,0.05786062309972264
7,-0.15384792599395936
8,0.1779947136424779
9,0.2089541620131822
10,-0.1836449391579461
11,0.042686890635111836
12,-0.01234470187632565
13,-0.08811032283813369
14,0.15413629557905514
15,-0.04380759825211334
16,-0.02982859381769036
17,-0.18420779700288564
18,-0.11098995971178414
19,0.19307180294992332
20,-0.15951570697847342
21,0.028570736089221425
22,-0.09340113755217894
23,-0.1404280016550968
24,0.07771511261851206
