ds,actual,nsa_predicted,predicted_adjustment,perfect_adjustment,predicted,error
2021-06-01,850.0,765.6426125425008,-383.2796665099012,-298.0,382.36294603259967,467.63705396740033
2021-07-01,943.0,-53.421180905593374,1260.4005791740644,1076.0,1206.979398268471,-263.97939826847096
2021-08-01,235.0,571.1862828075475,-59.85190697084914,-77.0,511.33437583669837,-276.33437583669837
2021-09-01,194.0,915.2310814341492,-547.2018323592571,-460.0,368.02924907489216,-174.02924907489216
2021-10-01,531.0,1051.1805875059883,-610.0739380127912,-1027.0,441.1066494931971,89.8933505068029
2021-11-01,210.0,759.291075387789,-187.39865271945072,-568.0,571.8924226683382,-361.8924226683382
2021-12-01,199.0,218.81306151727463,281.21327729222116,127.0,500.02633880949577,-301.02633880949577
2022-01-01,467.0,-2675.8278824591016,2862.3288139036586,3291.0,186.50093144455695,280.49906855544305
2022-02-01,678.0,861.8650418359128,-531.7506627890842,-779.0,330.1143790468286,347.8856209531714
2022-03-01,431.0,902.7481586199902,-641.6274657846552,-363.0,261.12069283533503,169.87930716466497
2022-04-01,428.0,1204.0370829074002,-789.4992459299361,-643.0,414.53783697746405,13.462163022535947
2022-05-01,390.0,925.6282273840574,-658.1093474173256,-419.0,267.5188799667318,122.48112003326821
2022-06-01,372.0,627.9684789573554,-382.9090082015203,-572.0,245.0594707558351,126.9405292441649
2022-07-01,528.0,-621.0688398701395,1253.8586201836235,913.0,632.789780313484,-104.78978031348402
2022-08-01,315.0,315.9932785332414,-61.27927383592463,6.0,254.71400469731674,60.28599530268326
2022-09-01,263.0,490.86178347152,-547.5462949555338,-168.0,-56.68451148401374,319.68451148401374
2022-10-01,261.0,585.3887270745987,-627.3747554448701,-911.0,-41.986028370271356,302.98602837027136
2022-11-01,263.0,617.8567043177464,-202.88198484620196,-311.0,414.9747194715445,-151.97471947154452
2022-12-01,223.0,-178.80282069672896,275.06046533568974,467.0,96.25764463896078,126.74235536103922
2023-01-01,517.0,-2624.5168547806825,2875.3950628823827,3022.0,250.87820810170024,266.12179189829976
2023-02-01,311.0,614.7952531991453,-537.4653916572216,-808.0,77.32986154192372,233.67013845807628
2023-03-01,236.0,571.0417834293424,-628.3547697609907,-284.0,-57.31298633164829,293.3129863316483
2023-04-01,253.0,907.6417799798476,-782.6386464297149,-639.0,125.0031335501327,127.9968664498673
2023-05-01,339.0,572.7751643722014,-648.5351036319605,-581.0,-75.75993925975911,414.7599392597591
2023-06-01,209.0,512.3379757148308,-386.0616209217876,-488.0,126.2763547930432,82.7236452069568
2023-07-01,187.0,-1078.2434619558594,1246.0748495558562,1006.0,167.8313875999968,19.168612400003212
2023-08-01,187.0,144.56773907257664,-58.06072737351938,-81.0,86.50701169905727,100.49298830094273
2023-09-01,336.0,505.64237534486745,-534.1846691553574,-249.0,-28.542293810489923,364.5422938104899
2023-10-01,150.0,833.8266290345177,-633.3344525231771,-916.0,200.49217651134063,-50.49217651134063
2023-11-01,164.0,321.8002339810325,-204.21459042087946,-313.0,117.58564356015302,46.41435643984698
2023-12-01,216.0,-288.214468202791,282.1100480097936,383.0,-6.104420192997395,222.1044201929974
2024-01-01,353.0,-2396.1801319247197,2881.092514957195,2988.0,484.9123830324752,-131.9123830324752
2024-02-01,275.0,611.6516236263667,-544.1259027733367,-866.0,67.52572085302995,207.47427914697005
2024-03-01,303.0,368.09651988539895,-617.2979346561318,-356.0,-249.20141477073287,552.2014147707329
2024-04-01,175.0,874.7741176693767,-777.9662849414293,-628.0,96.80783272794736,78.19216727205264
2024-05-01,272.0,791.9963987381959,-646.5516774490486,-645.0,145.4447212891473,126.55527871085269
2024-06-01,206.0,509.07682636349017,-389.77416747090774,-341.0,119.30265889258243,86.69734110741757
2024-07-01,114.0,-1020.996502037734,1238.3511615995299,1029.0,217.35465956179587,-103.35465956179587
2024-08-01,142.0,208.04584785779784,-59.897179967356365,-121.0,148.14866789044146,-6.148667890441459
2024-09-01,254.0,492.3493806000087,-525.8390616577359,-206.0,-33.48968105772718,287.4896810577272
2024-10-01,12.0,799.6865426854689,-641.4665472883386,-814.0,158.21999539713033,-146.21999539713033
2024-11-01,227.0,501.6130487450837,-207.52080656355113,-298.0,294.0922421815326,-67.09224218153258
2024-12-01,256.0,-109.91048197296384,285.2190890156758,337.0,175.30860704271197,80.69139295728803
2025-01-01,143.0,-2559.530244747073,2885.172178336165,2995.0,325.6419335890919,-182.64193358909188
2025-02-01,151.0,797.9601372750683,-552.2322664956204,-740.0,245.72787077944793,-94.72787077944793
2025-03-01,228.0,537.9809434343027,-608.87434940778,-328.0,-70.89340597347723,298.89340597347723
2025-04-01,177.0,720.1073793079324,-772.7965370663101,-728.0,-52.68915775837763,229.68915775837763
2025-05-01,139.0,540.5864132241039,-644.7224175293801,-587.0,-104.13600430527617,243.13600430527617
2025-06-01,147.0,317.28824579752,-386.5066558041313,-370.0,-69.2184100066113,216.2184100066113
2025-07-01,73.0,-1180.132081062427,1233.4491618510565,1139.0,53.31708078862948,19.682919211370518
2025-08-01,22.0,14.099827987652972,-60.14376889782044,-178.0,-46.04394091016747,68.04394091016746
2025-09-01,119.0,464.6766164695168,-515.4306769398673,-198.0,-50.75406047035057,169.75406047035057
2025-10-01,-138.0,663.630201391127,-644.3067848669526,-817.0,19.323416524174377,-157.32341652417438
2025-11-01,64.0,582.1842535431655,-207.5924991526671,-177.0,374.5917543904984,-310.5917543904984
2025-12-01,50.0,-243.3430810508569,286.1212240552989,242.0,42.778143004442,7.221856995557999
2026-01-01,130.0,-2806.824964571459,2889.974938242439,2779.0,83.14997367097976,46.85002632902024
2026-02-01,-92.0,785.3690171535953,-554.8698264083287,-655.0,230.49919074526667,-322.4991907452667
2026-03-01,178.0,668.8912284886077,-598.9366691670405,-393.0,69.95455932156722,108.04544067843278
2026-04-01,,894.5631531571394,-771.186829076837,,123.37632408030242,
2026-05-01,,850.8110307612443,-642.0815925090297,,208.72943825221455,
