ds,actual,nsa_predicted,predicted_adjustment,perfect_adjustment,predicted,error
2021-06-01,850.0,765.6426125425008,-364.6098445554929,-298.0,401.03276798700796,448.96723201299204
2021-07-01,943.0,-53.421180905593374,1254.1263334099635,1076.0,1200.70515250437,-257.70515250437006
2021-08-01,235.0,571.1862828075475,-135.64891851556604,-77.0,435.5373642919815,-200.53736429198148
2021-09-01,194.0,915.2310814341492,-379.920705222252,-460.0,535.3103762118972,-341.31037621189716
2021-10-01,531.0,1051.1805875059883,-811.2727164582656,-1027.0,239.90787104772278,291.0921289522772
2021-11-01,210.0,759.291075387789,-266.05252332241145,-568.0,493.2385520653775,-283.2385520653775
2021-12-01,199.0,218.81306151727463,329.56450568362317,127.0,548.3775672008978,-349.37756720089783
2022-01-01,467.0,-2675.8278824591016,3053.341088003685,3291.0,377.51320554458334,89.48679445541666
2022-02-01,678.0,861.8650418359128,-676.199654598583,-779.0,185.6653872373298,492.3346127626702
2022-03-01,431.0,902.7481586199902,-568.8965028177195,-363.0,333.8516558022708,97.14834419772922
2022-04-01,428.0,1204.0370829074002,-842.0872922441479,-643.0,361.9497906632523,66.05020933674768
2022-05-01,390.0,925.6282273840574,-607.1226664990007,-419.0,318.50556088505664,71.49443911494336
2022-06-01,372.0,627.9684789573554,-350.8590912493127,-572.0,277.1093877080427,94.89061229195732
2022-07-01,528.0,-621.0688398701395,1217.3544225250157,913.0,596.2855826548762,-68.28558265487618
2022-08-01,315.0,315.9932785332414,-123.54159690922387,6.0,192.4516816240175,122.54831837598249
2022-09-01,263.0,490.86178347152,-396.45205482635333,-168.0,94.4097286451667,168.5902713548333
2022-10-01,261.0,585.3887270745987,-855.8068641835833,-911.0,-270.41813710898464,531.4181371089846
2022-11-01,263.0,617.8567043177464,-328.38573083737657,-311.0,289.4709734803699,-26.470973480369878
2022-12-01,223.0,-178.80282069672896,287.7476456559242,467.0,108.94482495919524,114.05517504080476
2023-01-01,517.0,-2624.5168547806825,3102.4027408522197,3022.0,477.88588607153724,39.11411392846276
2023-02-01,311.0,614.7952531991453,-697.4187806547121,-808.0,-82.62352745556677,393.6235274555668
2023-03-01,236.0,571.0417834293424,-520.0503330850977,-284.0,50.991450344244754,185.00854965575525
2023-04-01,253.0,907.6417799798476,-794.8565159294334,-639.0,112.78526405041418,140.21473594958582
2023-05-01,339.0,572.7751643722014,-562.4930998351188,-581.0,10.282064537082647,328.71793546291735
2023-06-01,209.0,512.3379757148308,-396.4987955967888,-488.0,115.83918011804201,93.16081988195799
2023-07-01,187.0,-1078.2434619558594,1154.5408710235668,1006.0,76.29740906770735,110.70259093229265
2023-08-01,187.0,144.56773907257664,-96.8064251265018,-81.0,47.76131394607485,139.23868605392516
2023-09-01,336.0,505.64237534486745,-349.30345487371903,-249.0,156.3389204711484,179.6610795288516
2023-10-01,150.0,833.8266290345177,-867.1977841852338,-916.0,-33.37115515071605,183.37115515071605
2023-11-01,164.0,321.8002339810325,-324.7976131084347,-313.0,-2.997379127402212,166.9973791274022
2023-12-01,216.0,-288.214468202791,324.7422682342182,383.0,36.527800031427205,179.4721999685728
2024-01-01,353.0,-2396.1801319247197,3085.8089891942714,2988.0,689.6288572695516,-336.62885726955165
2024-02-01,275.0,611.6516236263667,-720.2385545556593,-866.0,-108.58693092929263,383.58693092929263
2024-03-01,303.0,368.09651988539895,-465.7376649280733,-356.0,-97.64114504267434,400.64114504267434
2024-04-01,175.0,874.7741176693767,-758.9955911887187,-628.0,115.778526480658,59.221473519342
2024-05-01,272.0,791.9963987381959,-566.7513404998672,-645.0,225.24505823832874,46.75494176167126
2024-06-01,206.0,509.07682636349017,-415.3791351211976,-341.0,93.69769124229259,112.30230875770741
2024-07-01,114.0,-1020.996502037734,1123.8909785279666,1029.0,102.89447649023259,11.105523509767409
2024-08-01,142.0,208.04584785779784,-93.5449306467086,-121.0,114.50091721108925,27.499082788910755
2024-09-01,254.0,492.3493806000087,-328.6068608142361,-206.0,163.74251978577263,90.25748021422737
2024-10-01,12.0,799.6865426854689,-877.2676232669794,-814.0,-77.58108058151049,89.58108058151049
2024-11-01,227.0,501.6130487450837,-322.3632960683734,-298.0,179.24975267671027,47.75024732328973
2024-12-01,256.0,-109.91048197296384,336.76315651469304,337.0,226.8526745417292,29.147325458270814
2025-01-01,143.0,-2559.530244747073,3065.6271026653294,2995.0,506.0968579182563,-363.0968579182563
2025-02-01,151.0,797.9601372750683,-750.3125352734411,-740.0,47.647602001627206,103.3523979983728
2025-03-01,228.0,537.9809434343027,-441.0658480681491,-328.0,96.91509536615365,131.08490463384635
2025-04-01,177.0,720.1073793079324,-729.5444520799732,-728.0,-9.437072772040779,186.43707277204078
2025-05-01,139.0,540.5864132241039,-584.3436284165748,-587.0,-43.75721519247088,182.75721519247088
2025-06-01,147.0,317.28824579752,-400.0265990590128,-370.0,-82.73835326149282,229.73835326149282
2025-07-01,73.0,-1180.132081062427,1104.3046097505833,1139.0,-75.82747131184374,148.82747131184374
2025-08-01,22.0,14.099827987652972,-99.21190891486631,-178.0,-85.11208092721334,107.11208092721334
2025-09-01,119.0,464.6766164695168,-303.2996795858626,-198.0,161.3769368836542,-42.376936883654196
2025-10-01,-138.0,663.630201391127,-864.2086052212293,-817.0,-200.57840383010227,62.578403830102275
