ds,actual,nsa_predicted,predicted_adjustment,perfect_adjustment,predicted,error
2021-06-01,850.0,981.4704128826896,-303.0,-298.0,678.4704128826896,171.52958711731037
2021-07-01,943.0,168.39182697398044,1172.0,1076.0,1340.3918269739804,-397.3918269739804
2021-08-01,235.0,815.1667259021399,-164.0,-77.0,651.1667259021399,-416.1667259021399
2021-09-01,194.0,975.3365187524583,-476.0,-460.0,499.33651875245835,-305.33651875245835
2021-10-01,531.0,921.2685245081956,-967.0,-1027.0,-45.73147549180442,576.7314754918044
2021-11-01,210.0,757.2210880875464,-272.0,-568.0,485.2210880875464,-275.2210880875464
2021-12-01,199.0,326.85430979469174,188.0,127.0,514.8543097946917,-315.85430979469174
2022-01-01,467.0,-2121.002163147409,2822.0,3291.0,700.9978368525908,-233.9978368525908
2022-02-01,678.0,810.880364028679,-599.0,-779.0,211.88036402867897,466.11963597132103
2022-03-01,431.0,835.1241144385964,-407.0,-363.0,428.1241144385964,2.8758855614036065
2022-04-01,428.0,1265.51548262351,-823.0,-643.0,442.51548262351,-14.515482623510024
2022-05-01,390.0,938.1327955385588,-414.0,-419.0,524.1327955385588,-134.13279553855875
2022-06-01,372.0,817.7792152535104,-298.0,-572.0,519.7792152535104,-147.77921525351042
2022-07-01,528.0,-492.64764399829255,1076.0,913.0,583.3523560017074,-55.35235600170745
2022-08-01,315.0,194.83951578368405,-77.0,6.0,117.83951578368405,197.16048421631595
2022-09-01,263.0,478.7756473762588,-460.0,-168.0,18.775647376258803,244.2243526237412
2022-10-01,261.0,816.5228851959531,-1027.0,-911.0,-210.4771148040469,471.4771148040469
2022-11-01,263.0,592.2707543171023,-568.0,-311.0,24.270754317102273,238.72924568289773
2022-12-01,223.0,-15.17181989370882,127.0,467.0,111.82818010629119,111.17181989370881
2023-01-01,517.0,-2680.8228126234544,3291.0,3022.0,610.1771873765456,-93.17718737654559
2023-02-01,311.0,753.2083850343968,-779.0,-808.0,-25.79161496560323,336.79161496560323
2023-03-01,236.0,633.8088321892319,-363.0,-284.0,270.8088321892319,-34.80883218923191
2023-04-01,253.0,1023.840708589918,-643.0,-639.0,380.840708589918,-127.840708589918
2023-05-01,339.0,734.7298414234315,-419.0,-581.0,315.7298414234315,23.27015857656852
2023-06-01,209.0,761.9065500151962,-572.0,-488.0,189.90655001519622,19.093449984803783
2023-07-01,187.0,-1039.3331760288938,913.0,1006.0,-126.33317602889383,313.33317602889383
2023-08-01,187.0,115.47298657295188,6.0,-81.0,121.47298657295188,65.52701342704812
2023-09-01,336.0,422.6522231246178,-168.0,-249.0,254.65222312461782,81.34777687538218
2023-10-01,150.0,860.9573967879213,-911.0,-916.0,-50.04260321207869,200.0426032120787
2023-11-01,164.0,277.5597117474163,-311.0,-313.0,-33.440288252583684,197.44028825258368
2023-12-01,216.0,-280.97448839268964,467.0,383.0,186.02551160731036,29.974488392689636
2024-01-01,353.0,-2652.604716925641,3022.0,2988.0,369.3952830743592,-16.395283074359213
2024-02-01,275.0,727.1892675903373,-808.0,-866.0,-80.8107324096627,355.8107324096627
2024-03-01,303.0,285.1362447753645,-284.0,-356.0,1.1362447753645029,301.8637552246355
2024-04-01,175.0,865.8483272163317,-639.0,-628.0,226.84832721633165,-51.848327216331654
2024-05-01,272.0,777.6007184096057,-581.0,-645.0,196.60071840960575,75.39928159039425
2024-06-01,206.0,456.0579203982952,-488.0,-341.0,-31.94207960170479,237.9420796017048
2024-07-01,114.0,-999.8070931687752,1006.0,1029.0,6.192906831224832,107.80709316877517
2024-08-01,142.0,191.24369737852876,-81.0,-121.0,110.24369737852876,31.756302621471235
2024-09-01,254.0,458.9178695246597,-249.0,-206.0,209.9178695246597,44.08213047534031
2024-10-01,12.0,770.8728141619082,-916.0,-814.0,-145.1271858380918,157.1271858380918
2024-11-01,227.0,454.2208188865719,-313.0,-298.0,141.22081888657192,85.77918111342808
2024-12-01,256.0,-244.31336588802984,383.0,337.0,138.68663411197016,117.31336588802984
2025-01-01,143.0,-2563.891932223192,2988.0,2995.0,424.1080677768082,-281.1080677768082
2025-02-01,151.0,755.1892557433865,-866.0,-740.0,-110.81074425661348,261.8107442566135
2025-03-01,228.0,668.6694546927915,-356.0,-328.0,312.66945469279153,-84.66945469279153
2025-04-01,177.0,729.0572849290488,-628.0,-728.0,101.05728492904882,75.94271507095118
2025-05-01,139.0,609.3325999483314,-645.0,-587.0,-35.66740005166855,174.66740005166855
2025-06-01,147.0,321.27795516507,-341.0,-370.0,-19.72204483492999,166.72204483493
2025-07-01,73.0,-1156.871197786983,1029.0,1139.0,-127.87119778698298,200.87119778698298
2025-08-01,22.0,243.82963202133064,-121.0,-178.0,122.82963202133064,-100.82963202133064
2025-09-01,119.0,455.8121013241296,-206.0,-198.0,249.81210132412963,-130.81210132412963
2025-10-01,-138.0,552.1908488552805,-814.0,-817.0,-261.8091511447195,123.80915114471952
2025-11-01,64.0,303.0815445691706,-298.0,-177.0,5.081544569170603,58.9184554308294
2025-12-01,50.0,-579.0266533935073,337.0,242.0,-242.02665339350733,292.02665339350733
2026-01-01,130.0,-2835.577090361202,2995.0,2779.0,159.42290963879805,-29.422909638798046
2026-02-01,-92.0,815.4704502329433,-740.0,-655.0,75.47045023294334,-167.47045023294334
2026-03-01,178.0,739.8444119638281,-328.0,-393.0,411.84441196382807,-233.84441196382807
2026-04-01,,926.4176758033664,-728.0,,198.41767580336636,
2026-05-01,,768.7558999898644,-587.0,,181.75589998986436,
