ds,actual,nsa_predicted,predicted_adjustment,perfect_adjustment,predicted,error
2021-06-01,850.0,638.8758734035488,-387.0,-298.0,251.87587340354878,598.1241265964512
2021-07-01,943.0,-84.34741600844727,-171.0,1076.0,-255.34741600844728,1198.3474160084472
2021-08-01,235.0,546.4954873597735,-60.0,-77.0,486.4954873597735,-251.4954873597735
2021-09-01,194.0,780.141310469595,1410.0,-460.0,2190.141310469595,-1996.1413104695948
2021-10-01,531.0,964.2472943094411,170.0,-1027.0,1134.2472943094413,-603.2472943094413
2021-11-01,210.0,521.1717456113049,-229.0,-568.0,292.1717456113049,-82.17174561130491
2021-12-01,199.0,84.1719677272456,-736.0,127.0,-651.8280322727544,850.8280322727544
2022-01-01,467.0,-2031.970542212858,19.0,3291.0,-2012.970542212858,2479.970542212858
2022-02-01,678.0,798.4071857971597,775.0,-779.0,1573.4071857971599,-895.4071857971599
2022-03-01,431.0,734.0521352807527,3470.0,-363.0,4204.052135280753,-3773.0521352807527
2022-04-01,428.0,1056.5601729178402,-420.0,-643.0,636.5601729178402,-208.5601729178402
2022-05-01,390.0,792.8929435452474,-48.0,-419.0,744.8929435452474,-354.89294354524736
2022-06-01,372.0,596.5897512249524,-508.0,-572.0,88.58975122495235,283.41024877504765
2022-07-01,528.0,-207.864859678405,-279.0,913.0,-486.86485967840497,1014.864859678405
2022-08-01,315.0,269.1786557601425,-158.0,6.0,111.17865576014248,203.82134423985752
2022-09-01,263.0,645.1253119884778,1490.0,-168.0,2135.1253119884777,-1872.1253119884777
2022-10-01,261.0,874.1984675580809,500.0,-911.0,1374.198467558081,-1113.198467558081
2022-11-01,263.0,451.6986657593672,34.0,-311.0,485.6986657593672,-222.6986657593672
2022-12-01,223.0,20.52255743289433,-825.0,467.0,-804.4774425671056,1027.4774425671058
2023-01-01,517.0,-2375.035705602618,-482.0,3022.0,-2857.035705602618,3374.035705602618
2023-02-01,311.0,801.4375242331375,-44.0,-808.0,757.4375242331375,-446.43752423313754
2023-03-01,236.0,598.3534391556607,2780.0,-284.0,3378.3534391556605,-3142.3534391556605
2023-04-01,253.0,827.644852801069,-1021.0,-639.0,-193.35514719893104,446.35514719893104
2023-05-01,339.0,580.5959261460871,-576.0,-581.0,4.595926146087095,334.4040738539129
2023-06-01,209.0,729.1535067529192,-935.0,-488.0,-205.84649324708084,414.84649324708084
2023-07-01,187.0,-880.552037942847,-715.0,1006.0,-1595.5520379428472,1782.5520379428472
2023-08-01,187.0,260.88148291160417,-706.0,-81.0,-445.11851708839583,632.1185170883958
2023-09-01,336.0,326.5133441130578,695.0,-249.0,1021.5133441130579,-685.5133441130579
2023-10-01,150.0,833.2882534651842,-305.0,-916.0,528.2882534651842,-378.2882534651842
2023-11-01,164.0,326.3969357661415,-392.0,-313.0,-65.6030642338585,229.6030642338585
2023-12-01,216.0,-381.21070168608645,-1054.0,383.0,-1435.2107016860864,1651.2107016860864
2024-01-01,353.0,-2357.126102534992,-449.0,2988.0,-2806.126102534992,3159.126102534992
2024-02-01,275.0,966.9064007804166,331.0,-866.0,1297.9064007804166,-1022.9064007804166
2024-03-01,303.0,449.17594408492135,2970.0,-356.0,3419.1759440849214,-3116.1759440849214
2024-04-01,175.0,775.9451411136647,-826.0,-628.0,-50.054858886335296,225.0548588863353
2024-05-01,272.0,612.2404479634149,-244.0,-645.0,368.2404479634149,-96.24044796341491
2024-06-01,206.0,500.929124200188,-527.0,-341.0,-26.070875799811972,232.07087579981197
2024-07-01,114.0,-1016.6766890188889,-480.0,1029.0,-1496.6766890188887,1610.6766890188887
2024-08-01,142.0,283.303294647439,-323.0,-121.0,-39.696705352561025,181.69670535256103
2024-09-01,254.0,520.7213279503454,1024.0,-206.0,1544.7213279503453,-1290.7213279503453
2024-10-01,12.0,817.4011925333335,-86.0,-814.0,731.4011925333335,-719.4011925333335
2024-11-01,227.0,400.3674728184168,-214.0,-298.0,186.3674728184168,40.632527181583214
2024-12-01,256.0,-412.2893790419622,-924.0,337.0,-1336.289379041962,1592.289379041962
2025-01-01,143.0,-2559.4229643744466,-423.0,2995.0,-2982.4229643744466,3125.4229643744466
2025-02-01,151.0,716.5072319586742,258.0,-740.0,974.5072319586742,-823.5072319586742
2025-03-01,228.0,543.7906210129796,2909.0,-328.0,3452.7906210129795,-3224.7906210129795
2025-04-01,177.0,749.5782877367212,-952.0,-728.0,-202.42171226327878,379.4217122632788
2025-05-01,139.0,480.4067930740715,-568.0,-587.0,-87.59320692592848,226.59320692592848
2025-06-01,147.0,512.1775210041087,-868.0,-370.0,-355.8224789958913,502.8224789958913
2025-07-01,73.0,-1073.1166183541045,-785.0,1139.0,-1858.1166183541045,1931.1166183541045
2025-08-01,22.0,181.7809970063141,-539.0,-178.0,-357.2190029936859,379.2190029936859
2025-09-01,119.0,463.0929153226041,860.0,-198.0,1323.092915322604,-1204.092915322604
2025-10-01,-138.0,653.4115597599275,-400.0,-817.0,253.4115597599275,-391.4115597599275
2025-11-01,64.0,490.7238835387743,-400.0,-177.0,90.72388353877432,-26.723883538774317
2025-12-01,50.0,-447.522902910059,-428.0,242.0,-875.522902910059,925.522902910059
2026-01-01,130.0,-2732.482505524149,-525.0,2779.0,-3257.482505524149,3387.482505524149
2026-02-01,-92.0,707.5253948818372,-11.0,-655.0,696.5253948818372,-788.5253948818372
2026-03-01,178.0,602.4103664424061,2742.0,-393.0,3344.410366442406,-3166.410366442406
2026-04-01,,777.6539642404307,-777.0,,0.653964240430696,
2026-05-01,,8.031610699822938,-450.0,,-441.9683893001771,
