ds,actual,nsa_predicted,predicted_adjustment,perfect_adjustment,predicted,error
2021-06-01,850.0,638.8758734035488,-303.0,-298.0,335.8758734035488,514.1241265964512
2021-07-01,943.0,-84.34741600844727,1172.0,1076.0,1087.6525839915528,-144.65258399155277
2021-08-01,235.0,546.4954873597735,-164.0,-77.0,382.4954873597735,-147.4954873597735
2021-09-01,194.0,780.141310469595,-476.0,-460.0,304.14131046959506,-110.14131046959506
2021-10-01,531.0,964.2472943094411,-967.0,-1027.0,-2.752705690558855,533.7527056905589
2021-11-01,210.0,521.1717456113049,-272.0,-568.0,249.1717456113049,-39.171745611304914
2021-12-01,199.0,84.1719677272456,188.0,127.0,272.1719677272456,-73.1719677272456
2022-01-01,467.0,-2031.970542212858,2822.0,3291.0,790.0294577871421,-323.02945778714206
2022-02-01,678.0,798.4071857971597,-599.0,-779.0,199.40718579715974,478.59281420284026
2022-03-01,431.0,734.0521352807527,-407.0,-363.0,327.05213528075274,103.94786471924726
2022-04-01,428.0,1056.5601729178402,-823.0,-643.0,233.5601729178402,194.4398270821598
2022-05-01,390.0,792.8929435452474,-414.0,-419.0,378.89294354524736,11.107056454752637
2022-06-01,372.0,596.5897512249524,-298.0,-572.0,298.58975122495235,73.41024877504765
2022-07-01,528.0,-207.864859678405,1076.0,913.0,868.135140321595,-340.13514032159503
2022-08-01,315.0,269.1786557601425,-77.0,6.0,192.17865576014248,122.82134423985752
2022-09-01,263.0,645.1253119884778,-460.0,-168.0,185.12531198847785,77.87468801152215
2022-10-01,261.0,874.1984675580809,-1027.0,-911.0,-152.8015324419191,413.8015324419191
2022-11-01,263.0,451.6986657593672,-568.0,-311.0,-116.3013342406328,379.3013342406328
2022-12-01,223.0,20.52255743289433,127.0,467.0,147.52255743289433,75.47744256710567
2023-01-01,517.0,-2375.035705602618,3291.0,3022.0,915.9642943973822,-398.9642943973822
2023-02-01,311.0,801.4375242331375,-779.0,-808.0,22.437524233137538,288.56247576686246
2023-03-01,236.0,598.3534391556607,-363.0,-284.0,235.35343915566068,0.6465608443393194
2023-04-01,253.0,827.644852801069,-643.0,-639.0,184.64485280106896,68.35514719893104
2023-05-01,339.0,580.5959261460871,-419.0,-581.0,161.5959261460871,177.4040738539129
2023-06-01,209.0,729.1535067529192,-572.0,-488.0,157.15350675291916,51.84649324708084
2023-07-01,187.0,-880.552037942847,913.0,1006.0,32.44796205715295,154.55203794284705
2023-08-01,187.0,260.88148291160417,6.0,-81.0,266.88148291160417,-79.88148291160417
2023-09-01,336.0,326.5133441130578,-168.0,-249.0,158.51334411305783,177.48665588694217
2023-10-01,150.0,833.2882534651842,-911.0,-916.0,-77.7117465348158,227.7117465348158
2023-11-01,164.0,326.3969357661415,-311.0,-313.0,15.396935766141496,148.6030642338585
2023-12-01,216.0,-381.21070168608645,467.0,383.0,85.78929831391355,130.21070168608645
2024-01-01,353.0,-2357.126102534992,3022.0,2988.0,664.8738974650082,-311.8738974650082
2024-02-01,275.0,966.9064007804166,-808.0,-866.0,158.90640078041656,116.09359921958344
2024-03-01,303.0,449.17594408492135,-284.0,-356.0,165.17594408492135,137.82405591507865
2024-04-01,175.0,775.9451411136647,-639.0,-628.0,136.9451411136647,38.054858886335296
2024-05-01,272.0,612.2404479634149,-581.0,-645.0,31.24044796341491,240.7595520365851
2024-06-01,206.0,500.929124200188,-488.0,-341.0,12.929124200188028,193.07087579981197
2024-07-01,114.0,-1016.6766890188889,1006.0,1029.0,-10.676689018888851,124.67668901888885
2024-08-01,142.0,283.303294647439,-81.0,-121.0,202.30329464743897,-60.303294647438975
2024-09-01,254.0,520.7213279503454,-249.0,-206.0,271.7213279503454,-17.721327950345426
2024-10-01,12.0,817.4011925333335,-916.0,-814.0,-98.59880746666647,110.59880746666647
2024-11-01,227.0,400.3674728184168,-313.0,-298.0,87.36747281841679,139.6325271815832
2024-12-01,256.0,-412.2893790419622,383.0,337.0,-29.289379041962206,285.2893790419622
2025-01-01,143.0,-2559.4229643744466,2988.0,2995.0,428.57703562555344,-285.57703562555344
2025-02-01,151.0,716.5072319586742,-866.0,-740.0,-149.4927680413258,300.4927680413258
2025-03-01,228.0,543.7906210129796,-356.0,-328.0,187.7906210129796,40.209378987020386
2025-04-01,177.0,749.5782877367212,-628.0,-728.0,121.57828773672122,55.42171226327878
2025-05-01,139.0,480.4067930740715,-645.0,-587.0,-164.59320692592848,303.5932069259285
2025-06-01,147.0,512.1775210041087,-341.0,-370.0,171.1775210041087,-24.177521004108712
2025-07-01,73.0,-1073.1166183541045,1029.0,1139.0,-44.1166183541045,117.1166183541045
2025-08-01,22.0,181.7809970063141,-121.0,-178.0,60.780997006314095,-38.780997006314095
2025-09-01,119.0,463.0929153226041,-206.0,-198.0,257.0929153226041,-138.09291532260409
2025-10-01,-138.0,653.4115597599275,-814.0,-817.0,-160.5884402400725,22.588440240072487
2025-11-01,64.0,490.7238835387743,-298.0,-177.0,192.72388353877432,-128.72388353877432
2025-12-01,50.0,-447.522902910059,337.0,242.0,-110.52290291005897,160.52290291005897
2026-01-01,130.0,-2732.482505524149,2995.0,2779.0,262.517494475851,-132.51749447585098
2026-02-01,-92.0,707.5253948818372,-740.0,-655.0,-32.4746051181628,-59.5253948818372
2026-03-01,178.0,602.4103664424061,-328.0,-393.0,274.41036644240614,-96.41036644240614
2026-04-01,,777.6539642404307,-728.0,,49.653964240430696,
2026-05-01,,8.031610699822938,-587.0,,-578.968389300177,
