lag,value
0,1.0
1,0.210579760611141
2,-0.1322623597765883
3,0.16639344159728264
4,0.15892412289047428
5,-0.19779886119674966
6,-0.016374066651966987
7,-0.04406297938089476
8,-0.03308382606516462
9,-0.004737645234210677
10,-0.07185263958043502
11,-0.03868205655808918
12,0.21728880111749682
13,-0.03314317130983497
14,-0.07110062249218724
15,0.04941604820694605
16,0.01695296028868383
17,-0.2709627563647377
18,-0.047406425637045314
19,0.11074496298736365
20,0.05273128344549175
21,-0.183939698888308
22,-0.002170929884918683
23,0.08301526276233429
24,-0.006997531034242537
