lag,value
0,1.0
1,-0.05525469249477632
2,-0.3265128540750303
3,0.15411467014039096
4,0.34298695865096007
5,-0.19950142844746035
6,-0.06913596461400051
7,-0.06918688258132014
8,0.1036029242680011
9,0.09900213813925592
10,-0.07024299551826911
11,-0.12380053857369072
12,0.16923609586416763
13,0.01832712463562576
14,-0.12567698149137171
15,0.04378337599428624
16,0.16470745185467214
17,-0.06980763420235685
18,-0.027004420112429546
19,0.16314904488727025
20,-0.04318682318833641
21,-0.14207314608431906
22,0.09085852311306866
23,0.06616722513818804
24,-0.15786713144653225
