ds,consensus_pred,panel_consensus_mean,panel_consensus_median,panel_consensus_count,panel_consensus_std,panel_NFP_Forecast_AIB,panel_NFP_Forecast_CONTINUUM_ECON,panel_NFP_Forecast_DANSKE_BK,panel_NFP_Forecast_NATIONWIDE_INSUR,panel_NFP_Forecast_Top4Mean,actual_champion_pred,champion_pred,challenger_pred,actual_challenger_pred,actual,nsa_pred,nsa_raw_pred
1999-04-01,230.0,,,,,,,,,,,,,,375.0,,
1999-06-01,220.0,,,,,,,,,,,,,,257.0,,
1999-07-01,201.0,,,,,,,,,,,,,,159.0,,
1999-08-01,211.0,,,,,,,,,,,,,,204.0,,
1999-10-01,313.0,,,,,,,,,,,,,,537.0,,
1999-11-01,203.0,,,,,,,,,,,,,,304.0,,
1999-12-01,226.0,,,,,,,,,,,,,,155.0,,
2000-01-01,255.0,,,,,,,,,,,,,,322.0,,
2000-02-01,206.0,,,,,,,,,,,,,,131.0,,
2000-03-01,376.0,,,,,,,,,,,,,,510.0,,
2000-04-01,354.0,,,,,,,,,,,,,,308.0,,
2000-05-01,376.0,,,,,,,,,,,,,,208.0,,
2000-06-01,263.0,,,,,,,,,,,,,,-2.0,,
2000-07-01,58.0,,,,,,,,,,,,,,160.0,,
2000-08-01,7.0,,,,,,,,,,,,,,-28.0,,
2000-09-01,232.0,,,,,,,,,,,,,,107.0,,
2000-10-01,184.0,,,,,,,,,,,,,,15.0,,
2000-11-01,140.0,,,,,,,,,,,,,,180.0,,
2001-01-01,83.0,,,,,,,,,,,,,,-97.0,,
2001-02-01,62.0,,,,,,,,,,,,,,172.0,,
2001-03-01,58.0,,,,,,,,,,,,,,-53.0,,
2001-04-01,5.0,,,,,,,,,,,,,,-293.0,,
2001-05-01,-17.0,,,,,,,,,,,,,,23.0,,
2001-06-01,-42.0,,,,,,,,,,,,,,-208.0,,
2001-07-01,-50.0,,,,,,,,,,,,,,-99.0,,
2001-08-01,-33.0,,,,,,,,,,,,,,-168.0,,
2001-09-01,-109.0,,,,,,,,,,,,,,-241.0,,
2001-10-01,-289.0,,,,,,,,,,,,,,-349.0,,
2001-11-01,-189.0,,,,,,,,,,,,,,-289.0,,
2001-12-01,-139.0,,,,,,,,,,,,,,-178.0,,
2002-02-01,9.0,,,,,,,,,,,,,,-204.0,,
2002-03-01,41.0,,,,,,,,,,,,,,16.0,,
2002-04-01,41.0,,,,,,,,,,,,,,-85.0,,
2002-05-01,58.0,,,,,,,,,,,,,,-5.0,,
2002-06-01,86.0,,,,,,,,,,,,,,41.0,,
2002-07-01,69.0,,,,,,,,,,,,,,-113.0,,
2002-08-01,37.0,,,,,,,,,,,,,,0.0,,
2002-09-01,5.0,,,,,,,,,,,,,,-8.0,,
2002-10-01,7.0,,,,,,,,,,,,,,73.0,,
2002-11-01,37.0,,,,,,,,,,,,,,-8.0,,
2002-12-01,22.0,,,,,,,,,,,,,,-132.0,,
2003-01-01,70.0,,,,,,,,,,,,,,64.0,,
2003-02-01,8.0,,,,,,,,,,,,,,-144.0,,
2003-03-01,-29.0,,,,,,,,,,,,,,-183.0,,
2003-04-01,-53.0,,,,,,,,,,,,,,-73.0,,
2003-05-01,-39.0,,,,,,,,,,,,,,-13.0,,
2003-06-01,-2.0,,,,,,,,,,,,,,128.0,,
2003-07-01,14.0,,,,,,,,,,,,,,-92.0,,
2003-08-01,17.0,,,,,,,,,,,,,,-48.0,,
2003-09-01,-13.0,,,,,,,,,,,,,,103.0,,
2003-10-01,60.0,,,,,,,,,,,,,,150.0,,
2003-11-01,135.0,,,,,,,,,,,,,,55.0,,
2003-12-01,144.0,,,,,,,,,,,,,,-6.0,,
2004-02-01,122.0,,,,,,,,,,,,,,31.0,,
2004-03-01,110.0,,,,,,,,,,,,,,330.0,,
2004-04-01,172.0,,,,,,,,,,,,,,129.0,,
2004-05-01,221.0,,,,,,,,,,,,,,322.0,,
2004-06-01,245.0,,,,,,,,,,,,,,190.0,,
2004-07-01,233.0,,,,,,,,,,,,,,-142.0,,
2004-08-01,153.0,,,,,,,,,,,,,,203.0,,
2004-09-01,169.0,,,,,,,,,,,,,,92.0,,
2004-10-01,190.0,,,,,,,,,,,,,,563.0,,
2004-12-01,182.0,,,,,,,,,,,,,,191.0,,
2005-01-01,184.0,,,,,,,,,,,,,,307.0,,
2005-02-01,218.0,,,,,,,,,,,,,,270.0,,
2005-03-01,217.0,,,,,,,,,,,,,,83.0,,
2005-04-01,178.0,,,,,,,,,,,,,,367.0,,
2005-05-01,184.0,,,,,,,,,,,,,,54.0,,
2005-06-01,186.0,,,,,,,,,,,,,,190.0,,
2005-07-01,186.0,,,,,,,,,,,,,,249.0,,
2005-08-01,190.0,,,,,,,,,,,,,,369.0,,
2005-09-01,-152.0,,,,,,,,,,,,,,-114.0,,
2005-10-01,113.0,,,,,,,,,,,,,,20.0,,
2005-12-01,213.0,,,,,,,,,,,,,,179.0,,
2006-01-01,219.0,,,,,,,,,,,,,,96.0,,
2006-02-01,208.0,,,,,,,,,,,,,,225.0,,
2006-03-01,195.0,,,,,,,,,,,,,,177.0,,
2006-04-01,201.0,,,,,,,,,,,,,,102.0,,
2006-05-01,175.0,,,,,,,,,,,,,,38.0,,
2006-06-01,157.0,,,,,,,,,,,,,,124.0,,
2006-07-01,145.0,,,,,,,,,,,,,,124.0,,
2006-08-01,125.0,,,,,,,,,,,,,,146.0,,
2006-09-01,123.0,,,,,,,,,,,,,,113.0,,
2006-10-01,122.0,,,,,,,,,,,,,,231.0,,
2006-11-01,110.0,,,,,,,,,,,,,,174.0,,
2006-12-01,97.0,,,,,,,,,,,,,,196.0,,
2007-01-01,147.0,,,,,,,,,,,,,,1044.0,,
2007-02-01,103.0,,,,,,,,,,,,,,152.0,,
2007-03-01,130.0,,,,,,,,,,,,,,212.0,,
2007-04-01,106.0,,,,,,,,,,,,,,62.0,,
2007-05-01,132.0,,,,,,,,,,,,,,147.0,,
2007-06-01,119.0,,,,,,,,,,,,,,207.0,,
2007-07-01,130.0,,,,,,,,,,,,,,84.0,,
2007-08-01,106.0,,,,,,,,,,,,,,-85.0,,
2007-09-01,94.0,,,,,,,,,,,,,,228.0,,
2007-10-01,81.0,,,,,,,,,,,,,,156.0,,
2007-11-01,71.0,,,,,,,,,,,,,,46.0,,
2008-01-01,62.0,,,,,,,,,,,,,,-393.0,,
2008-02-01,19.0,,,,,,,,,,,,,,-109.0,,
2008-03-01,-55.0,,,,,,,,,,,,,,-147.0,,
2008-04-01,-76.0,,,,,,,,,,,,,,-28.0,,
2008-05-01,-58.0,,,,,,,,,,,,,,-64.0,,
2008-06-01,-60.0,,,,,,,,,,,,,,-114.0,,
2008-07-01,-73.0,,,,,,,,,,,,,,-25.0,,
2008-08-01,-77.0,,,,,,,,,,,,,,-142.0,,
2008-09-01,-106.0,,,,,,,,,,,,,,-159.0,,
2008-10-01,-195.0,,,,,,,,,,,,,,-240.0,,
2008-11-01,-347.0,,,,,,,,,,,,,,-533.0,,
2008-12-01,-493.0,,,,,,,,,,,,,,-524.0,,
