ds,actual,predicted,consensus_pred,error,sidecar_precision_share,sidecar_router_risk,sidecar_router_confidence
2021-06-01,850.0,441.39105671798654,514.0,408.60894328201346,0.0,0.0,0.0
2021-07-01,943.0,843.5961136353675,825.0,99.40388636463251,0.0,0.0,0.0
2021-08-01,235.0,468.6010113552392,717.0,-233.60101135523922,0.0,0.0,0.0
2021-09-01,194.0,289.1995443411509,453.0,-95.1995443411509,0.0,0.0,0.0
2021-10-01,531.0,132.1674062739175,401.0,398.8325937260825,0.0,0.0,0.0
2021-11-01,210.0,311.7691176976854,507.0,-101.76911769768537,0.0,0.0,0.0
2021-12-01,199.0,492.73521168770804,399.0,-293.73521168770804,0.15000000000000002,0.0,0.0
2022-01-01,467.0,524.005225442366,250.0,-57.005225442366054,0.15000000000000002,0.0,0.0
2022-02-01,678.0,333.8571021838365,392.0,344.1428978161635,0.15,0.0,0.0
2022-03-01,431.0,422.6734646542711,430.0,8.326535345728928,0.15000000000000002,0.0,0.0
2022-04-01,428.0,259.90886052360827,416.0,168.09113947639173,0.15,0.0,0.0
2022-05-01,390.0,363.29537381165267,353.0,26.704626188347333,0.15000000000000002,0.0,0.0
2022-06-01,372.0,361.29278526664723,278.0,10.707214733352771,0.15,0.0,0.0
2022-07-01,528.0,344.02885647780414,261.0,183.97114352219586,0.15,0.0,0.0
2022-08-01,315.0,336.11577072526,282.0,-21.115770725260006,0.15,0.0,0.0
2022-09-01,263.0,235.0338463679689,263.0,27.96615363203111,0.15,0.0,0.0
2022-10-01,261.0,-59.655665851385024,198.0,320.65566585138504,0.15,0.0,0.0
2022-11-01,263.0,132.79604048104034,200.0,130.20395951895966,0.15000000000000002,0.0,0.0
2022-12-01,223.0,275.7574984983282,201.0,-52.757498498328175,0.15,0.0,0.0
2023-01-01,517.0,452.44798904742566,175.0,64.55201095257434,0.15000000000000002,0.0,0.0
2023-02-01,311.0,189.84659261532747,188.0,121.15340738467253,0.15000000000000002,0.0,0.0
2023-03-01,236.0,173.23626362899566,225.0,62.76373637100434,0.15,0.0,0.0
2023-04-01,253.0,200.5057939448344,177.0,52.49420605516559,0.15,0.0,0.0
2023-05-01,339.0,257.69990623446347,178.0,81.30009376553653,0.15,0.0,0.0
2023-06-01,209.0,258.5832124123066,214.0,-49.58321241230658,0.15000000000000002,0.0,0.0
2023-07-01,187.0,162.75046171446934,184.0,24.24953828553066,0.15000000000000002,0.0,0.0
2023-08-01,187.0,195.29444201382,164.0,-8.294442013820003,0.15,0.0,0.0
2023-09-01,336.0,231.30002463707606,148.0,104.69997536292394,0.15,0.0,0.0
2023-10-01,150.0,139.97293029031977,164.0,10.027069709680234,0.15,0.0,0.0
2023-11-01,164.0,119.56072484255868,173.0,44.439275157441315,0.15000000000000002,0.0,0.0
2023-12-01,216.0,83.19696587902477,151.0,132.8030341209752,0.15000000000000002,0.0,0.0
2024-01-01,353.0,282.88673846075517,157.0,70.11326153924483,0.15,0.0,0.0
2024-02-01,275.0,193.867097065841,184.0,81.132902934159,0.15000000000000002,0.0,0.0
2024-03-01,303.0,221.66191143369443,197.0,81.33808856630557,0.15000000000000002,0.0,0.0
2024-04-01,175.0,262.35356892701145,221.0,-87.35356892701145,0.15,0.0,0.0
2024-05-01,272.0,188.80867871148925,189.0,83.19132128851075,0.15000000000000002,0.0,0.0
2024-06-01,206.0,192.70331102341456,190.0,13.296688976585443,0.15,0.0,0.0
2024-07-01,114.0,185.17604661781002,186.0,-71.17604661781002,0.15000000000000002,0.0,0.0
2024-08-01,142.0,140.86113182763233,164.0,1.1388681723676655,0.15,0.0,0.0
2024-09-01,254.0,164.99944030969013,143.0,89.00055969030987,0.15,0.0,0.0
2024-10-01,12.0,100.65890901267176,132.0,-88.65890901267176,0.15000000000000002,0.0,0.0
2024-11-01,227.0,79.7780286994747,188.0,147.2219713005253,0.15000000000000002,0.0,0.0
2024-12-01,256.0,166.37013356051665,153.0,89.62986643948335,0.15000000000000002,0.0,0.0
2025-01-01,143.0,250.72794034080675,165.0,-107.72794034080675,0.15000000000000002,0.0,0.0
2025-02-01,151.0,89.65412466380431,136.0,61.34587533619569,0.15000000000000002,0.0,0.0
2025-03-01,228.0,201.16382471582338,121.0,26.83617528417662,0.15,0.0,0.0
2025-04-01,177.0,178.8624545934262,128.0,-1.8624545934262073,0.15000000000000002,0.0,0.0
2025-05-01,139.0,119.29052624013288,126.0,19.709473759867123,0.15,0.0,0.0
2025-06-01,147.0,161.302751820916,125.0,-14.302751820916,0.15,0.0,0.0
2025-07-01,73.0,83.1696511465598,110.0,-10.1696511465598,0.15,0.0,0.0
2025-08-01,22.0,81.13602336873956,76.0,-59.13602336873956,0.15000000000000002,0.0,0.0
2025-09-01,119.0,104.50423700323272,40.0,14.495762996767283,0.15000000000000002,0.0,0.0
2025-10-01,-138.0,-17.388197795834156,22.0,-120.61180220416584,0.15000000000000002,0.0,0.0
2025-11-01,64.0,55.01248914033916,32.0,8.987510859660837,0.15,0.0,0.0
2025-12-01,50.0,104.0836648672077,60.0,-54.0836648672077,0.15,0.0,0.0
2026-01-01,130.0,196.98420303006884,83.0,-66.98420303006884,0.15,0.0,0.0
2026-02-01,-92.0,70.6314599285624,66.0,-162.6314599285624,0.15000000000000002,0.0,0.0
2026-03-01,178.0,119.70142009560332,51.0,58.298579904396675,0.15000000000000002,0.0,0.0
2026-04-01,,127.18691360294206,90.0,,0.0,0.0,0.0
