lag,value
0,1.0
1,-0.003542492565166973
2,-0.3750580711716876
3,0.15296479395936194
4,0.24008269059292134
5,0.0016196612150065452
6,0.13032864391405463
7,-0.21425721426194813
8,0.105909821057264
9,0.0752487609334264
10,-0.02540056283433588
11,0.050781418382591675
12,0.08986534893763792
13,0.011507438002111577
14,-0.04735512842557623
15,0.016099770472302766
16,0.061465452375455754
17,0.009844169665105753
18,0.04087533155021687
19,0.1382257919411867
20,-0.13007008703279624
21,-0.04401714938986522
22,0.036154703748287276
23,-0.05126842367840741
24,-0.07786210299567657
