feature,source,missing_rate,pit_cutoff
prev_mom,target,0.0,trained_through
sa_mom_lag1,target,0.0,trained_through
sa_accel_lag1,target,0.0023094688221709007,trained_through
sa_mom_lag2,target,0.0023094688221709007,trained_through
sa_accel_lag2,target,0.004618937644341801,trained_through
sa_mom_lag3,target,0.004618937644341801,trained_through
sa_accel_lag3,target,0.006928406466512702,trained_through
sa_mom_lag6,target,0.011547344110854504,trained_through
sa_accel_lag6,target,0.013856812933025405,trained_through
sa_mom_lag12,target,0.025404157043879907,trained_through
sa_accel_lag12,target,0.02771362586605081,trained_through
sa_mom_mean_3m,target,0.0023094688221709007,trained_through
sa_mom_std_3m,target,0.0023094688221709007,trained_through
sa_mom_z_3m,target,0.0023094688221709007,trained_through
sa_mom_mean_6m,target,0.004618937644341801,trained_through
sa_mom_std_6m,target,0.004618937644341801,trained_through
sa_mom_z_6m,target,0.004618937644341801,trained_through
sa_mom_mean_12m,target,0.011547344110854504,trained_through
sa_mom_std_12m,target,0.011547344110854504,trained_through
sa_mom_z_12m,target,0.011547344110854504,trained_through
sa_mom_vs_12m_trend,target,0.011547344110854504,trained_through
Yield_Curve_max_pct_chg_lag_12m,stress,0.0,trained_through
Yield_Curve_max_pct_chg,stress,0.0,trained_through
Yield_Curve_max_pct_chg_rolling_std_6m_lag_12m,stress,0.0,trained_through
Yield_Curve_max_pct_chg_rolling_std_6m_lag_6m,stress,0.0,trained_through
Yield_Curve_max_pct_chg_rolling_std_6m_lag_3m,stress,0.0,trained_through
Yield_Curve_max_pct_chg_rolling_std_6m_lag_1m,stress,0.0,trained_through
Yield_Curve_max_pct_chg_rolling_std_6m,stress,0.0,trained_through
Yield_Curve_monthly_chg_pct_chg_rolling_std_6m,stress,0.0,trained_through
Yield_Curve_monthly_chg_pct_chg_rolling_std_6m_lag_6m,stress,0.0,trained_through
Yield_Curve_monthly_chg_pct_chg_rolling_std_6m_lag_1m,stress,0.0,trained_through
Yield_Curve_monthly_chg_pct_chg_rolling_std_6m_lag_3m,stress,0.0,trained_through
